id_row,SEXE,ANNEE,CLASSE_AGE,CODE_CIM10,libelle_CIM10,label,indicateur,rang,frequence,age_median,nb_cas,asr
3400,Femme,2009,Tous ages,C50,Tumeur maligne du sein,Sein,Mortalité,1,30.8,53.5,36,25.4
1377,Femme,2016,25-49,C50,Tumeur maligne du sein,Sein,Incidence,1,49.5,,55,103.66
2047,Femme,2017,50-74,C50,Tumeur maligne du sein,Sein,Incidence,1,38.5,,94,325.47
40,Femme,2009,Tous ages,C50,Tumeur maligne du sein,Sein,Incidence,1,33.5,54.0,117,88.19
2058,Femme,2008,50-74,C50,Tumeur maligne du sein,Sein,Incidence,1,32.7,,53,246.6
41,Femme,2013,Tous ages,C50,Tumeur maligne du sein,Sein,Incidence,1,32.7,57.0,127,84.98
3402,Femme,2011,Tous ages,C50,Tumeur maligne du sein,Sein,Mortalité,1,25.6,61.0,40,26.62
3425,Femme,2014,Tous ages,C50,Tumeur maligne du sein,Sein,Mortalité,2,14.6,48.5,20,12.56
38,Femme,2019,Tous ages,C50,Tumeur maligne du sein,Sein,Incidence,1,34.3,55.0,160,89.93
2048,Femme,2011,50-74,C50,Tumeur maligne du sein,Sein,Incidence,1,37.9,,86,363.64
2053,Femme,2020,50-74,C50,Tumeur maligne du sein,Sein,Incidence,1,35.6,,113,360.83
2061,Femme,2019,50-74,C50,Tumeur maligne du sein,Sein,Incidence,1,32.0,,81,266.92
149,Femme,2014,Tous ages,C53,Tumeur maligne du col de l'utérus,Col de l'utérus,Incidence,5,5.3,47.5,20,12.82
136,Femme,2011,Tous ages,C53,Tumeur maligne du col de l'utérus,Col de l'utérus,Incidence,5,6.1,48.0,24,16.59
139,Femme,2010,Tous ages,C53,Tumeur maligne du col de l'utérus,Col de l'utérus,Incidence,6,6.0,44.0,23,15.46
144,Femme,2013,Tous ages,C53,Tumeur maligne du col de l'utérus,Col de l'utérus,Incidence,6,5.7,61.5,22,13.93
133,Femme,2012,Tous ages,C54,Tumeur maligne du corps de l'utérus,Utérus,Incidence,4,6.4,64.0,24,17.23
94,Femme,2014,Tous ages,C54,Tumeur maligne du corps de l'utérus,Utérus,Incidence,2,9.4,61.0,35,22.04
78,Femme,2020,Tous ages,C54,Tumeur maligne du corps de l'utérus,Utérus,Incidence,3,12.2,63.0,65,36.39
2114,Femme,2017,50-74,C54,Tumeur maligne du corps de l'utérus,Utérus,Incidence,3,10.2,,25,87.74
2111,Femme,2019,50-74,C54,Tumeur maligne du corps de l'utérus,Utérus,Incidence,4,10.3,,26,84.39
135,Femme,2013,Tous ages,C54,Tumeur maligne du corps de l'utérus,Utérus,Incidence,5,6.2,57.5,24,15.83
2128,Femme,2012,50-74,C54,Tumeur maligne du corps de l'utérus,Utérus,Incidence,4,8.9,,19,80.06
88,Femme,2021,Tous ages,C54,Tumeur maligne du corps de l'utérus,Utérus,Incidence,2,10.0,60.0,47,24.14
163,Femme,2011,Tous ages,C54,Tumeur maligne du corps de l'utérus,Utérus,Incidence,6,4.8,64.0,19,13.88
47,Homme,2020,Tous ages,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,28.2,70.0,150,80.73
2056,Homme,2009,50-74,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,34.7,,102,466.01
48,Homme,2011,Tous ages,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,27.7,67.0,122,91.3
2720,Homme,2020,75+,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,37.7,,43,894.61
2732,Homme,2021,75+,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,26.7,,39,779.67
2728,Homme,2018,75+,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,28.2,,29,651.06
2062,Homme,2012,50-74,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,31.8,,96,394.78
2071,Homme,2016,50-74,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,26.4,,77,276.99
2727,Homme,2015,75+,C61,Tumeur maligne de la prostate,Prostate,Incidence,2,28.9,,22,564.28
2719,Homme,2012,75+,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,39.2,,29,874.6
2063,Homme,2015,50-74,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,31.3,,97,354.98
57,Homme,2019,Tous ages,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,23.2,72.0,116,63.55
3448,Homme,2012,Tous ages,C61,Tumeur maligne de la prostate,Prostate,Mortalité,4,9.0,81.0,19,12.49
51,Homme,2014,Tous ages,C61,Tumeur maligne de la prostate,Prostate,Incidence,1,25.6,69.0,117,75.67
126,Femme,2017,Tous ages,C73,Tumeur maligne de la thyroïde,Thyroïde,Incidence,4,7.3,53.5,32,19.92
116,Femme,2011,Tous ages,C73,Tumeur maligne de la thyroïde,Thyroïde,Incidence,3,7.9,52.0,31,22.25
71,Femme,2008,Tous ages,C73,Tumeur maligne de la thyroïde,Thyroïde,Incidence,2,15.2,47.0,48,37.57
101,Femme,2013,Tous ages,C73,Tumeur maligne de la thyroïde,Thyroïde,Incidence,3,8.8,54.0,34,23.89
2130,Femme,2013,50-74,C73,Tumeur maligne de la thyroïde,Thyroïde,Incidence,4,8.3,,20,79.15
1395,Femme,2009,25-49,C73,Tumeur maligne de la thyroïde,Thyroïde,Incidence,2,20.2,,21,47.18
176,Femme,2018,Tous ages,C73,Tumeur maligne de la thyroïde,Thyroïde,Incidence,6,4.5,59.0,21,11.92
74,Femme,2010,Tous ages,C73,Tumeur maligne de la thyroïde,Thyroïde,Incidence,2,13.0,48.0,50,36.95
2147,Homme,2019,50-74,C00-13,,Lèvre_bouche_pharynx,Incidence,4,6.7,,20,64.57
146,Homme,2012,Tous ages,C00-13,,Lèvre_bouche_pharynx,Incidence,4,5.5,61.0,23,15.64
161,Homme,2011,Tous ages,C00-13,,Lèvre_bouche_pharynx,Incidence,5,4.8,58.0,21,15.11
2143,Homme,2010,50-74,C00-13,,Lèvre_bouche_pharynx,Incidence,4,7.2,,21,91.0
131,Homme,2010,Tous ages,C00-13,,Lèvre_bouche_pharynx,Incidence,4,6.6,62.5,28,20.95
2135,Homme,2018,50-74,C00-13,,Lèvre_bouche_pharynx,Incidence,4,7.8,,24,80.16
2038,Femme,2015,50-74,C00-97,,Tous cancers,Incidence,0,1.0,,254,940.03
2713,Femme,2018,75+,C00-97,,Tous cancers,Incidence,0,1.0,,95,1613.64
4,Homme,2011,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,65.0,475,348.51
5252,Femme,2015,50-74,C00-97,,Tous cancers,Mortalité,0,1.0,,108,400.24
4612,Homme,2012,25-49,C00-97,,Tous cancers,Mortalité,0,1.0,,27,54.39
1346,Homme,2009,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,52,113.66
4623,Femme,2010,25-49,C00-97,,Tous cancers,Mortalité,0,1.0,,20,41.84
3365,Homme,2013,Tous ages,C00-97,,Tous cancers,Mortalité,1,1.0,68.5,228,151.63
1345,Homme,2008,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,37,80.64
5865,Homme,2017,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,78,1856.18
2690,Homme,2009,75+,C00-97,,Tous cancers,Incidence,0,1.0,,92,3341.92
4634,Femme,2021,25-49,C00-97,,Tous cancers,Mortalité,0,1.0,,32,60.22
5875,Femme,2014,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,56,1150.19
5244,Homme,2020,50-74,C00-97,,Tous cancers,Mortalité,0,1.0,,150,482.93
3383,Femme,2018,Tous ages,C00-97,,Tous cancers,Mortalité,1,1.0,69.0,193,97.64
5,Homme,2012,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,66.0,466,331.61
1360,Femme,2009,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,108,236.83
1371,Femme,2020,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,128,243.34
2029,Homme,2020,50-74,C00-97,,Tous cancers,Incidence,0,1.0,,370,1202.75
3382,Femme,2017,Tous ages,C00-97,,Tous cancers,Mortalité,1,1.0,69.0,196,105.23
3386,Femme,2021,Tous ages,C00-97,,Tous cancers,Mortalité,1,1.0,67.0,217,103.25
2697,Homme,2016,75+,C00-97,,Tous cancers,Incidence,0,1.0,,105,2598.22
1365,Femme,2014,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,119,230.8
13,Homme,2020,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,66.0,574,320.67
2691,Homme,2010,75+,C00-97,,Tous cancers,Incidence,0,1.0,,96,3275.87
1364,Femme,2013,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,99,196.66
12,Homme,2019,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,66.0,542,305.34
2026,Homme,2017,50-74,C00-97,,Tous cancers,Incidence,0,1.0,,309,1081.79
22,Femme,2015,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,60.0,454,276.38
1370,Femme,2019,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,138,263.8
4624,Femme,2011,25-49,C00-97,,Tous cancers,Mortalité,0,1.0,,29,61.82
1,Homme,2008,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,65.0,475,392.99
5864,Homme,2016,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,89,2225.41
20,Femme,2013,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,60.0,415,271.75
5242,Homme,2018,50-74,C00-97,,Tous cancers,Mortalité,0,1.0,,119,407.93
4611,Homme,2011,25-49,C00-97,,Tous cancers,Mortalité,0,1.0,,24,49.19
4629,Femme,2016,25-49,C00-97,,Tous cancers,Mortalité,0,1.0,,36,68.29
5860,Homme,2012,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,72,2238.43
1353,Homme,2016,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,63,122.12
1356,Homme,2019,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,73,140.34
1351,Homme,2014,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,60,115.31
1347,Homme,2010,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,45,94.52
2693,Homme,2012,75+,C00-97,,Tous cancers,Incidence,0,1.0,,83,2544.91
5866,Homme,2018,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,84,1908.13
5245,Homme,2021,50-74,C00-97,,Tous cancers,Mortalité,0,1.0,,137,430.38
5869,Homme,2021,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,78,1563.96
4619,Homme,2019,25-49,C00-97,,Tous cancers,Mortalité,0,1.0,,26,51.52
3375,Femme,2010,Tous ages,C00-97,,Tous cancers,Mortalité,1,1.0,69.0,149,100.73
5880,Femme,2019,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,70,1092.81
5237,Homme,2013,50-74,C00-97,,Tous cancers,Mortalité,0,1.0,,137,539.47
5253,Femme,2016,50-74,C00-97,,Tous cancers,Mortalité,0,1.0,,103,370.43
10,Homme,2017,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,66.0,497,296.66
5249,Femme,2012,50-74,C00-97,,Tous cancers,Mortalité,0,1.0,,78,323.66
5863,Homme,2015,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,70,1818.21
2043,Femme,2020,50-74,C00-97,,Tous cancers,Incidence,0,1.0,,333,1063.76
2700,Homme,2019,75+,C00-97,,Tous cancers,Incidence,0,1.0,,143,3116.74
2703,Femme,2008,75+,C00-97,,Tous cancers,Incidence,0,1.0,,54,1521.49
2702,Homme,2021,75+,C00-97,,Tous cancers,Incidence,0,1.0,,154,3080.29
5867,Homme,2019,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,97,2120.59
5873,Femme,2012,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,72,1621.43
2044,Femme,2021,50-74,C00-97,,Tous cancers,Incidence,0,1.0,,291,895.33
1358,Homme,2021,25-49,C00-97,,Tous cancers,Incidence,0,1.0,,67,129.48
4614,Homme,2014,25-49,C00-97,,Tous cancers,Mortalité,0,1.0,,25,48.35
4626,Femme,2013,25-49,C00-97,,Tous cancers,Mortalité,0,1.0,,22,43.64
5882,Femme,2021,75+,C00-97,,Tous cancers,Mortalité,0,1.0,,70,996.11
14,Homme,2021,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,67.0,573,306.16
23,Femme,2016,Tous ages,C00-97,,Tous cancers,Incidence,1,1.0,62.0,444,259.14
3366,Homme,2014,Tous ages,C00-97,,Tous cancers,Mortalité,1,1.0,69.0,242,151.69
3362,Homme,2010,Tous ages,C00-97,,Tous cancers,Mortalité,1,1.0,68.5,208,157.6
2024,Homme,2015,50-74,C00-97,,Tous cancers,Incidence,0,1.0,,323,1189.63
3367,Homme,2015,Tous ages,C00-97,,Tous cancers,Mortalité,1,1.0,68.0,241,149.62
2020,Homme,2011,50-74,C00-97,,Tous cancers,Incidence,0,1.0,,302,1282.79
2030,Homme,2021,50-74,C00-97,,Tous cancers,Incidence,0,1.0,,340,1068.18
2710,Femme,2015,75+,C00-97,,Tous cancers,Incidence,0,1.0,,81,1593.99
2122,Femme,2013,50-74,C18-20,,Colon-rectum,Incidence,3,9.5,,23,91.09
2138,Homme,2013,50-74,C18-20,,Colon-rectum,Incidence,3,7.4,,22,86.45
2090,Homme,2021,50-74,C18-20,,Colon-rectum,Incidence,3,12.7,,41,128.16
3439,Homme,2012,Tous ages,C18-20,,Colon-rectum,Mortalité,2,9.5,67.5,20,14.12
2096,Homme,2017,50-74,C18-20,,Colon-rectum,Incidence,3,11.6,,34,119.31
89,Homme,2010,Tous ages,C18-20,,Colon-rectum,Incidence,3,9.9,68.0,42,31.51
100,Femme,2014,Tous ages,C18-20,,Colon-rectum,Incidence,3,8.8,64.0,33,19.29
2134,Homme,2020,50-74,C18-20,,Colon-rectum,Incidence,3,7.8,,27,88.11
2115,Homme,2008,50-74,C18-20,,Colon-rectum,Incidence,3,10.1,,31,141.25
118,Homme,2019,Tous ages,C18-20,,Colon-rectum,Incidence,3,7.8,64.0,39,21.77
3429,Homme,2015,Tous ages,C18-20,,Colon-rectum,Mortalité,3,10.4,69.0,23,14.55
2116,Femme,2018,50-74,C18-20,,Colon-rectum,Incidence,4,10.1,,28,95.9
5271,Homme,2014,50-74,C33-34,,Bronches-Poumon,Mortalité,1,34.7,,43,159.8
109,Femme,2009,Tous ages,C33-34,,Bronches-Poumon,Incidence,4,8.3,63.0,29,22.13
5266,Homme,2019,50-74,C33-34,,Bronches-Poumon,Mortalité,1,40.3,,50,163.24
2092,Femme,2017,50-74,C33-34,,Bronches-Poumon,Incidence,2,12.3,,30,107.08
3408,Femme,2020,Tous ages,C33-34,,Bronches-Poumon,Mortalité,1,23.1,69.5,40,18.57
5886,Homme,2013,75+,C33-34,,Bronches-Poumon,Mortalité,1,38.1,,24,698.29
62,Homme,2021,Tous ages,C33-34,,Bronches-Poumon,Incidence,2,20.6,68.0,111,57.93
61,Homme,2011,Tous ages,C33-34,,Bronches-Poumon,Incidence,2,22.0,66.0,97,70.33
69,Homme,2018,Tous ages,C33-34,,Bronches-Poumon,Incidence,2,16.8,65.0,77,45.76
91,Femme,2008,Tous ages,C33-34,,Bronches-Poumon,Incidence,3,9.8,66.0,31,24.0
64,Homme,2014,Tous ages,C33-34,,Bronches-Poumon,Incidence,2,19.3,65.0,88,56.42
3417,Femme,2012,Tous ages,C33-34,,Bronches-Poumon,Mortalité,2,20.9,72.0,31,18.7
3394,Homme,2010,Tous ages,C33-34,,Bronches-Poumon,Mortalité,1,36.5,67.0,69,52.75
3388,Homme,2013,Tous ages,C33-34,,Bronches-Poumon,Mortalité,1,38.8,68.5,80,53.61
2743,Femme,2018,75+,C33-34,,Bronches-Poumon,Incidence,2,21.8,,19,330.76
79,Femme,2018,Tous ages,C33-34,,Bronches-Poumon,Incidence,2,11.7,69.0,55,29.34
97,Femme,2021,Tous ages,C33-34,,Bronches-Poumon,Incidence,3,9.0,65.5,42,20.89
3404,Femme,2018,Tous ages,C33-34,,Bronches-Poumon,Mortalité,1,25.3,65.0,42,22.04
1388,Homme,2021,25-49,C33-34,,Bronches-Poumon,Incidence,1,31.7,,20,38.12
5883,Homme,2021,75+,C33-34,,Bronches-Poumon,Mortalité,1,42.6,,26,520.5
2755,Homme,2020,75+,C33-34,,Bronches-Poumon,Incidence,2,17.5,,20,417.23
5269,Homme,2017,50-74,C33-34,,Bronches-Poumon,Mortalité,1,37.4,,49,173.98
2082,Homme,2012,50-74,C33-34,,Bronches-Poumon,Incidence,2,18.9,,57,235.23
2745,Femme,2020,75+,C33-34,,Bronches-Poumon,Incidence,1,21.7,,20,306.87
2742,Homme,2021,75+,C33-34,,Bronches-Poumon,Incidence,2,21.9,,32,640.29
68,Homme,2012,Tous ages,C33-34,,Bronches-Poumon,Incidence,2,17.1,67.0,72,51.48
3410,Femme,2019,Tous ages,C33-34,,Bronches-Poumon,Mortalité,2,23.0,67.5,38,19.3
5268,Homme,2015,50-74,C33-34,,Bronches-Poumon,Mortalité,1,37.8,,51,189.85
58,Homme,2015,Tous ages,C33-34,,Bronches-Poumon,Incidence,2,23.1,66.0,103,64.76
2107,Femme,2021,50-74,C33-34,,Bronches-Poumon,Incidence,2,10.5,,29,88.89
1389,Homme,2020,25-49,C33-34,,Bronches-Poumon,Incidence,1,29.2,,19,37.31
2725,Homme,2015,75+,C33-34,,Bronches-Poumon,Incidence,1,28.9,,22,569.14
77,Femme,2017,Tous ages,C33-34,,Bronches-Poumon,Incidence,2,12.5,64.0,55,31.04
3396,Homme,2018,Tous ages,C33-34,,Bronches-Poumon,Mortalité,1,35.6,66.0,74,43.57
2753,Homme,2019,75+,C33-34,,Bronches-Poumon,Incidence,2,18.5,,25,542.12
177,Homme,2009,Tous ages,C91-95,,Leucémies,Incidence,5,4.4,43.0,19,15.03
153,Homme,2016,Tous ages,C91-95,,Leucémies,Incidence,5,5.1,56.0,23,14.12
182,Homme,2021,Tous ages,"C82-86,C96",,LMNH,Incidence,6,4.3,61.0,23,13.09
1882,Femme,2021,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,20,0.0,,0,0.0
5013,Homme,2018,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,15,0.0,,0,0.0
1875,Femme,2016,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,18,0.0,,0,0.0
1874,Femme,2015,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,18,0.0,,0,0.0
3233,Femme,2015,75+,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,19,0.0,,0,0.0
5006,Femme,2013,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,14,0.0,,0,0.0
6344,Femme,2011,75+,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,18,0.0,,0,0.0
4268,Homme,2017,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,15,0.0,,0,0.0
4999,Femme,2009,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,15,0.0,,0,0.0
5012,Femme,2017,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,15,0.0,,0,0.0
2597,Femme,2009,50-74,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,21,0.0,,0,0.0
5005,Homme,2013,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,14,0.0,,0,0.0
4260,Homme,2011,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,12,0.0,,0,0.0
4272,Homme,2019,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,13,0.0,,0,0.0
6351,Femme,2021,75+,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,18,0.0,,0,0.0
3905,Femme,2019,Tous ages,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,21,0.0,,0,0.0
6346,Femme,2013,75+,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,18,0.0,,0,0.0
1072,Homme,2016,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,14,0.0,,0,0.0
1879,Femme,2018,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,18,0.0,,0,0.0
1065,Femme,2012,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,13,0.0,,0,0.0
4266,Homme,2016,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,14,0.0,,0,0.0
3228,Femme,2009,75+,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,19,0.0,,0,0.0
3902,Femme,2010,Tous ages,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,21,0.0,,0,0.0
5737,Femme,2010,50-74,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,18,0.0,,0,0.0
4269,Femme,2017,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,12,0.0,,0,0.0
5011,Homme,2017,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,15,0.0,,0,0.0
6348,Femme,2016,75+,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,17,0.0,,0,0.0
4550,Homme,2014,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,12,,,0,0.0
3235,Femme,2018,75+,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,20,0.0,,0,0.0
6342,Femme,2009,75+,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,19,0.0,,0,0.0
1077,Femme,2018,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,12,0.0,,0,0.0
5009,Homme,2015,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,13,0.0,,0,0.0
1073,Femme,2016,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,14,0.0,,0,0.0
5739,Femme,2015,50-74,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,19,0.0,,0,0.0
4998,Homme,2009,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,12,0.0,,0,0.0
6345,Femme,2012,75+,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,19,0.0,,0,0.0
5003,Homme,2012,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Mortalité,15,0.0,,0,0.0
1881,Femme,2020,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,18,0.0,,0,0.0
2601,Femme,2016,50-74,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,21,0.0,,0,0.0
1068,Homme,2014,00-24,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,14,0.0,,0,0.0
1876,Homme,2017,25-49,C15,Tumeur maligne de l'oesophage,Oesophage,Incidence,17,0.0,,0,0.0
887,Femme,2010,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,7,0.0,,0,0.0
894,Homme,2014,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,7,0.0,,0,0.0
5697,Femme,2009,50-74,C16,Tumeur maligne de l'estomac,Estomac,Mortalité,17,0.0,,0,0.0
893,Femme,2013,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,7,0.0,,0,0.0
3195,Femme,2018,75+,C16,Tumeur maligne de l'estomac,Estomac,Incidence,18,0.0,,0,0.0
905,Homme,2020,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,7,0.0,,0,0.0
4510,Homme,2014,00-24,C16,Tumeur maligne de l'estomac,Estomac,Mortalité,4,,,0,0.0
889,Femme,2011,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,8,0.0,,0,0.0
903,Homme,2019,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,7,0.0,,0,0.0
4512,Femme,2015,00-24,C16,Tumeur maligne de l'estomac,Estomac,Mortalité,4,,,0,0.0
4113,Homme,2017,00-24,C16,Tumeur maligne de l'estomac,Estomac,Mortalité,8,0.0,,0,0.0
4115,Homme,2018,00-24,C16,Tumeur maligne de l'estomac,Estomac,Mortalité,4,0.0,,0,0.0
4108,Femme,2012,00-24,C16,Tumeur maligne de l'estomac,Estomac,Mortalité,5,0.0,,0,0.0
890,Homme,2012,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,8,0.0,,0,0.0
891,Femme,2012,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,7,0.0,,0,0.0
4870,Femme,2009,25-49,C16,Tumeur maligne de l'estomac,Estomac,Mortalité,9,0.0,,0,0.0
4118,Femme,2019,00-24,C16,Tumeur maligne de l'estomac,Estomac,Mortalité,5,0.0,,0,0.0
4116,Femme,2018,00-24,C16,Tumeur maligne de l'estomac,Estomac,Mortalité,5,0.0,,0,0.0
895,Femme,2014,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,9,0.0,,0,0.0
901,Homme,2018,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,8,0.0,,0,0.0
899,Homme,2017,00-24,C16,Tumeur maligne de l'estomac,Estomac,Incidence,8,0.0,,0,0.0
921,Homme,2015,00-24,C22,Tumeur maligne du foie et des voies biliaires intrahépatiques,Foie et voies biliaires intra-hépatiques,Incidence,10,0.0,,0,0.0
1809,Femme,2010,25-49,C22,Tumeur maligne du foie et des voies biliaires intrahépatiques,Foie et voies biliaires intra-hépatiques,Incidence,14,0.0,,0,0.0
912,Homme,2010,00-24,C22,Tumeur maligne du foie et des voies biliaires intrahépatiques,Foie et voies biliaires intra-hépatiques,Incidence,9,0.0,,0,0.0
1808,Femme,2008,25-49,C22,Tumeur maligne du foie et des voies biliaires intrahépatiques,Foie et voies biliaires intra-hépatiques,Incidence,13,0.0,,0,0.0
